seed,path,layer,matrix_shape,matrix_rows,matrix_cols,elements,frobenius_norm,spectral_norm,stable_rank,effective_rank_entropy,rank_90_energy,rank_95_energy,rank_99_energy,rank_995_energy,rank_999_energy,rank_384_relative_error,rank_320_relative_error,rank_256_relative_error,rank_192_relative_error,rank_160_relative_error,rank_128_relative_error,rank_96_relative_error,rank_64_relative_error
seed2,layers.m_wq,4,"[512, 512]",512,512,262144,45.0884780628,24.9061501047,3.27731322116,28.6998664437,40,85,236,290,380,0.0300645063505,0.0559904633286,0.088143842032,0.127055268292,0.150091761897,0.176751094106,0.209202787936,0.254888296385
seed2,layers.m_wq,5,"[512, 512]",512,512,262144,42.5981379636,16.3666203595,6.77428110752,51.9579347259,56,100,244,296,384,0.0314184581889,0.0586495370702,0.092377882889,0.134651335495,0.159984150309,0.190017641548,0.228972178625,0.290317102364
seed2,layers.m_wq,6,"[512, 512]",512,512,262144,41.6321863464,17.427393841,5.70681173701,42.9402239301,50,98,244,295,383,0.0311437413469,0.0582092928512,0.0923661642298,0.13464124283,0.159761968333,0.189173420268,0.226227059604,0.280161261669
seed2,layers.m_wq,7,"[512, 512]",512,512,262144,43.5682604219,18.2787662927,5.68128635465,42.1532410624,47,92,239,292,381,0.0304767973917,0.0568965159533,0.0898909750653,0.130410065894,0.154534499573,0.182686864615,0.217813478136,0.268893321069
seed2,layers.m_wq,8,"[512, 512]",512,512,262144,46.8146486105,10.0217869866,21.8209272174,96.4274290971,81,117,241,292,380,0.030019004132,0.056642229641,0.0904795753696,0.13525345519,0.164917259594,0.205033976711,0.268568609212,0.386430033965
seed2,layers.m_wq,9,"[512, 512]",512,512,262144,44.0268116561,17.6925056119,6.19235416597,43.346372202,44,84,235,289,379,0.0296609515355,0.0556315999873,0.0876383849523,0.126705802946,0.149616011347,0.175995830465,0.208184584605,0.256029405084
seed2,layers.m_wq,10,"[512, 512]",512,512,262144,42.7636087402,13.3176412747,10.3108405233,63.5042280531,64,109,248,299,385,0.0317876626651,0.0595799003489,0.0945491796284,0.138528657446,0.165711494914,0.198919165987,0.243482637148,0.314595664467
seed2,layers.m_wq,11,"[512, 512]",512,512,262144,45.043361744,14.5052406641,9.64298995436,63.8416885537,63,102,237,288,379,0.0295161065929,0.0552425447307,0.0880893540745,0.130015496592,0.156106389996,0.188698053174,0.233003717268,0.309585745294
seed2,layers.m_wv,0,"[512, 512]",512,512,262144,41.9203820931,8.92776032512,22.0478080685,106.111532682,94,135,271,319,397,0.0372373277725,0.0697763137692,0.109697604917,0.159386070149,0.190648570275,0.233284838107,0.306909387472,0.435042524993
seed2,layers.m_wv,1,"[512, 512]",512,512,262144,43.9359730897,8.8490739095,24.6515853567,151.1916343,164,224,336,371,429,0.0608848131842,0.11432559284,0.182129783562,0.268751102802,0.321718056095,0.384262909157,0.460139161528,0.558432472493
seed2,layers.m_wv,2,"[512, 512]",512,512,262144,44.4394046066,8.52607818876,27.1667597004,164.829729179,175,236,345,379,434,0.0662383453761,0.123494851228,0.195955242338,0.287259740402,0.342321083376,0.40585051416,0.482164490697,0.579996978264
seed2,layers.m_wv,3,"[512, 512]",512,512,262144,45.0087240698,7.96986403345,31.8927213422,181.673394224,188,248,352,384,437,0.0704431264728,0.132877413725,0.211215040071,0.309244955721,0.367449171204,0.433506800143,0.511074385848,0.606307988563
seed2,layers.m_wv,4,"[512, 512]",512,512,262144,45.0490491062,7.30716319272,38.0078797473,208.306567167,207,265,364,394,443,0.0796155229743,0.14901688582,0.235785961087,0.34182885444,0.403795991646,0.474011333445,0.553871198899,0.649189056424
seed2,layers.m_wv,5,"[512, 512]",512,512,262144,45.7651094687,7.84237082212,34.0544808036,212.322932196,208,266,365,396,444,0.0809555665812,0.150487846129,0.237519188439,0.344346282199,0.407415732705,0.478562622874,0.55984104647,0.657090762919
seed2,layers.m_wv,6,"[512, 512]",512,512,262144,45.5253771224,7.900093469,33.2079942308,203.069520543,204,263,363,393,442,0.0790080187372,0.147210314733,0.23284911398,0.337064423995,0.398320430523,0.467288719285,0.546521023389,0.641588726162
