seed,family,layer,parameter_path,shape,dtype,elements,numerical_rank,stable_rank,effective_rank_entropy,largest_singular_value,smallest_singular_value,spectral_norm,frobenius_norm,condition_number,rank_384_energy_fraction,rank_384_energy_percent,rank_384_relative_frobenius_error,rank_320_energy_fraction,rank_320_energy_percent,rank_320_relative_frobenius_error,rank_256_energy_fraction,rank_256_energy_percent,rank_256_relative_frobenius_error,rank_192_energy_fraction,rank_192_energy_percent,rank_192_relative_frobenius_error,rank_160_energy_fraction,rank_160_energy_percent,rank_160_relative_frobenius_error,rank_128_energy_fraction,rank_128_energy_percent,rank_128_relative_frobenius_error,rank_96_energy_fraction,rank_96_energy_percent,rank_96_relative_frobenius_error,rank_64_energy_fraction,rank_64_energy_percent,rank_64_relative_frobenius_error
seed2,m_wk,5,layers.m_wk[5],512x512,float64,262144,512,8.18130557521419,55.00287986006817,15.11220492049167,9.473010476441425e-05,15.11220492049167,43.22541195698746,159529.06373400986,0.9994751075493673,99.94751075493673,0.02291053143496887,0.9979130158227877,99.79130158227876,0.04568352194404799,0.9941623459174435,99.41623459174434,0.07640454229007947,0.9862420448639977,98.62420448639978,0.11729430990462542,0.9794990338084509,97.9499033808451,0.1431815846802551,0.9693835255204294,96.93835255204294,0.17497563967470045,0.9525306051323974,95.25306051323975,0.21787472287441376,0.9180730281638452,91.80730281638452,0.2862288801573923
seed2,m_wk,6,layers.m_wk[6],512x512,float64,262144,512,8.19219322476355,49.44126873208418,14.786799821256613,0.0001520641512021427,14.786799821256613,42.32278977476015,97240.53765703231,0.999252673850435,99.9252673850435,0.02733726668057661,0.9972381455410003,99.72381455410003,0.05255334869444268,0.992655241743642,99.26552417436419,0.08570156507531267,0.9834336381604002,98.34336381604002,0.12871037968866306,0.9759453202217997,97.59453202217998,0.15509571166927957,0.965063490085415,96.5063490085415,0.1869131079260761,0.948528231820173,94.8528231820173,0.22687390369944935,0.9180347572912116,91.80347572912116,0.28629572597017294
seed2,m_wk,7,layers.m_wk[7],512x512,float64,262144,512,10.121853228478818,51.62769608482279,13.965428017474727,0.00023490540463432758,13.965428017474727,44.43081385391211,59451.28439771074,0.9993899038018879,99.93899038018878,0.024700125467538463,0.9976431799378204,99.76431799378204,0.048547091181446,0.9935820002991169,99.35820002991169,0.08011241914262159,0.9851788954409262,98.51788954409261,0.12174195890930052,0.9782625468813411,97.8262546881341,0.14743626798945683,0.9681697533788882,96.81697533788882,0.17841033215907587,0.952295910540305,95.22959105403051,0.21841265865259493,0.9223168659863551,92.2316865986355,0.2787169424589128
seed2,m_wk,8,layers.m_wk[8],512x512,float64,262144,512,20.59199537283529,100.94360165950717,10.355594056454901,1.853431003727891e-05,10.355594056454901,46.99203293499258,558725.6302298936,0.9991502388525935,99.91502388525934,0.029150662898235022,0.996813862013429,99.6813862013429,0.05644588547069635,0.9914245031807417,99.14245031807417,0.09260397842025087,0.9800568054808655,98.00568054808654,0.14122037572225374,0.9698351599755232,96.98351599755232,0.17368028104674646,0.952952162004816,95.2952162004816,0.21690513593546829,0.9192056889833973,91.92056889833972,0.28424340100801415,0.8355354109121929,83.55354109121929,0.4055423394515142
seed2,m_wk,9,layers.m_wk[9],512x512,float64,262144,512,9.556928497536381,45.523812024357476,14.333725823132372,0.0005291622822866292,14.333725823132372,44.31168464212313,27087.58031882605,0.9993785403823572,99.93785403823571,0.024929091793381014,0.9977142950198843,99.77142950198842,0.04780904705299731,0.9939539111959648,99.39539111959648,0.07775659974584301,0.9865925834533894,98.65925834533894,0.11579039919877034,0.9807401759199521,98.07401759199522,0.13877976826629987,0.9725586221273709,97.25586221273709,0.16565439285641997,0.9605641070215118,96.05641070215118,0.1985847249374638,0.9388414660594968,93.88414660594968,0.24730251503068704
seed2,m_wk,10,layers.m_wk[10],512x512,float64,262144,512,11.272169030886529,67.75596646873511,12.890785636754309,0.0005490365060975153,12.890785636754309,43.279589488570025,23478.922610047273,0.9992443769607604,99.92443769607604,0.027488598349853975,0.9971862285162261,99.71862285162261,0.053044994898424964,0.992488102947446,99.2488102947446,0.08667120082561422,0.9827127467257758,98.27127467257758,0.13148099967000632,0.9743303190460597,97.43303190460597,0.16021760500625482,0.9615865933038927,96.15865933038927,0.1959933843171939,0.9402570068171566,94.02570068171566,0.24442379831522826,0.896359579309653,89.6359579309653,0.3219323231524709
seed2,m_wk,11,layers.m_wk[11],512x512,float64,262144,512,9.194669846001993,68.73117390681831,14.985373071715829,0.00030172623162364555,14.985373071715829,45.43971819047451,49665.46326143644,0.9992005680014728,99.92005680014728,0.028274228522227923,0.9970387133248013,99.70387133248013,0.05441770553044921,0.9921198697739579,99.2119869773958,0.08877009758945892,0.9820598288609015,98.20598288609015,0.13394092406392646,0.9736198206923529,97.36198206923528,0.16241976267575056,0.9608051324713198,96.08051324713199,0.19797693686053477,0.9395674871258793,93.95674871258794,0.2458302521540436,0.8939089317646183,89.39089317646183,0.32571623882665374
seed2,m_wv,0,layers.m_wv[0],512x512,float64,262144,512,22.047808068546736,106.11153268181674,8.927760325115228,0.0005171701032267165,8.927760325115228,41.920382093124886,17262.715438137933,0.998613381420367,99.8613381420367,0.03723732777245111,0.9951312660367796,99.51312660367796,0.06977631376921832,0.9879664354754162,98.79664354754162,0.10969760491726252,0.9745960806425802,97.45960806425802,0.15938607014861686,0.9636531226519144,96.36531226519143,0.19064857027548257,0.9455781843095623,94.55781843095623,0.23328483810663242,0.9058066278815576,90.58066278815576,0.30690938747200674,0.8107380014478657,81.07380014478657,0.4350425249928268
seed2,m_wv,1,layers.m_wv[1],512x512,float64,262144,512,24.651585356703198,151.19163430035167,8.84907390949658,0.0003706538684855429,8.84907390949658,43.93597308969853,23874.225151495302,0.9962930395235302,99.62930395235303,0.06088481318415775,0.9869296588218346,98.69296588218346,0.11432559283977238,0.9668287419396849,96.68287419396849,0.1821297835619289,0.9277728447427722,92.77728447427722,0.2687511028018821,0.8964974923824345,89.64974923824344,0.321718056095031,0.8523420166459552,85.23420166459552,0.3842629091573174,0.7882719520283951,78.8271952028395,0.4601391615279066,0.6881531736655783,68.81531736655782,0.5584324724927999
seed2,m_wv,2,layers.m_wv[2],512x512,float64,262144,512,27.166759700393754,164.829729179417,8.526078188758252,0.004050034563368899,8.526078188758252,44.439404606612456,2105.1865250419223,0.9956124816018377,99.56124816018377,0.066238345376091,0.9847490217201255,98.47490217201255,0.12349485122819712,0.9616015430001316,96.16015430001316,0.19595524233831674,0.9174818415442578,91.74818415442579,0.2872597404018568,0.8828162758764955,88.28162758764955,0.3423210833756877,0.8352853601560176,83.52853601560176,0.4058505141600567,0.7675174039110343,76.75174039110343,0.48216449069686346,0.6636035052042095,66.36035052042095,0.5799969782643617
